name,website,coverage_priority,is_public_listed,seed_source,notes
Shutterstock,shutterstock.com,3,false,mnc-tech,Dublin
Twitch,twitch.tv,3,false,mnc-tech,
Unity,unity.com,3,false,mnc-tech,
Epic Games,epicgames.com,3,false,mnc-tech,
Roblox,roblox.com,3,false,mnc-tech,Dublin
Scopely,scopely.com,3,false,mnc-tech,Dublin
Jagex,jagex.com,4,false,mnc-tech,
Havok,havok.com,4,false,irish-tech,Dublin games technology
Demonware,demonware.net,3,false,irish-tech,Dublin - Activision Blizzard
Digit Games,digitgaming.com,4,false,irish-tech,Dublin
Romero Games,romerogames.com,4,false,irish-tech,Galway
# --- Irish startups and scale-ups -------------------------------------------------
Evervault,evervault.com,2,false,irish-tech,Dublin security infrastructure
Nuvei Ireland,nuvei.com,3,false,irish-tech,
Umba,umba.com,4,false,irish-tech,Dublin fintech
Nory,nory.ai,3,false,irish-tech,Dublin restaurant AI
Aiden,aiden.ai,4,false,irish-tech,
Akkure,akkure.com,4,false,irish-tech,
Ancestry Ireland,ancestry.com,4,false,mnc-tech,
Artomatix,artomatix.com,4,false,irish-tech,Dublin - acquired by Unity
Assure Hedge,assurehedge.com,4,false,irish-tech,Dublin
Bearingpoint Ireland,bearingpoint.com,3,false,consulting,
Beats Medical,beatsmedical.com,4,false,irish-tech,Dublin
Bizimply,bizimply.com,3,false,irish-tech,Dublin workforce management
Brightflag,brightflag.com,2,false,irish-tech,Dublin legal AI
Cameo Systems,cameo.ie,4,false,irish-tech,
Cantillon Group,cantillon.ie,4,false,irish-tech,
Chargebee Ireland,chargebee.com,4,false,mnc-tech,
Clark Energy,clarke-energy.com,4,false,engineering,
CleverCards,clevercards.com,3,false,irish-tech,Dublin payments
Codex,codex.ie,4,false,irish-tech,
Container Centralen,container-centralen.com,4,false,irish-tech,
Corlytics,corlytics.com,3,false,irish-tech,Dublin regtech
Crowdcube Ireland,crowdcube.com,4,false,irish-tech,
Cyc-Lok,cyc-lok.com,4,false,irish-tech,
Danalto,danalto.com,4,false,irish-tech,Dublin
Daon,daon.com,3,false,irish-tech,Dublin biometrics
Decawave,decawave.com,3,false,irish-tech,Dublin - now Qorvo
Deciphex,deciphex.com,3,false,irish-tech,Dublin digital pathology
Dogpatch Labs,dogpatchlabs.com,4,false,irish-tech,Dublin startup hub
Ding,ding.com,3,false,irish-tech,Dublin mobile top-up
Diona,diona.com,4,false,irish-tech,Dublin
Divilia,divilia.ie,4,false,irish-tech,
Dropchip,dropchip.com,4,false,irish-tech,
EdgeTier,edgetier.com,3,false,irish-tech,Dublin customer AI
Emagine Ireland,emagine.ie,4,false,consulting,
Emydex,emydex.com,4,false,irish-tech,Dublin
Equal1,equal1.com,3,false,irish-tech,Dublin quantum computing
Everseen,everseen.com,3,false,irish-tech,Cork computer vision
Exergyn,exergyn.com,4,false,irish-tech,Dublin
Fathom Technology,fathom.ie,4,false,irish-tech,
Fexillon,fexillon.com,4,false,irish-tech,
FlexiCapital,flexicapital.ie,4,false,irish-tech,
Fonoa,fonoa.com,3,false,irish-tech,Dublin tax automation
Fourtheorem,fourtheorem.com,4,false,irish-tech,Dublin AWS consultancy
Freight Investor Services,freightinvestor.com,4,false,finance,
Genomics Medicine Ireland,genomicsmed.ie,3,false,irish-tech,Dublin
Getvisibility,getvisibility.com,3,false,irish-tech,Cork data security
Glofox,glofox.com,3,false,irish-tech,Dublin fitness software
Grid Finance,gridfinance.ie,4,false,finance,
HealthTech Ireland,healthtechireland.ie,4,false,irish-tech,
HiTech Cluster,hitechcluster.ie,4,false,irish-tech,
Hostelworld,hostelworld.com,3,true,irish-tech,Dublin travel
Inform3,inform3.com,4,false,irish-tech,
Infosys Ireland,infosys.com,4,false,consulting,Duplicate guard
Inhance,inhance.ie,4,false,irish-tech,
Innopharma,innopharmalabs.com,4,false,pharma,Dublin
Intercom Dublin,intercom.com,4,false,irish-tech,Duplicate guard
Jaguar Land Rover Shannon,jaguarlandrover.com,3,false,mnc-tech,Shannon software centre
Kastus,kastus.com,4,false,irish-tech,
Keelvar,keelvar.com,3,false,irish-tech,Cork sourcing optimisation
Kianda Technologies,kianda.com,4,false,irish-tech,
Klearcom,klearcom.com,4,false,irish-tech,Dundalk
Lightyear,lightyear.com,4,false,irish-tech,
Logentries,logentries.com,4,false,irish-tech,Dublin - acquired by Rapid7
Luzern eCommerce,luzern.co,4,false,irish-tech,
Marino Software,marinosoftware.com,4,false,irish-tech,Dublin
Mediquo,mediquo.com,4,false,irish-tech,
MyWallSt,mywallst.com,4,false,irish-tech,Dublin
Nathean Technologies,nathean.com,4,false,irish-tech,
Netwatch,netwatchsystem.com,3,false,irish-tech,Carlow
NewsWhip,newswhip.com,3,false,irish-tech,Dublin media analytics
Nova Leah,novaleah.com,4,false,irish-tech,Dundalk
Novaerus,novaerus.com,4,false,irish-tech,Dublin
Ondaka,ondaka.com,4,false,irish-tech,
Output Sports,outputsports.com,4,false,irish-tech,Dublin
Ovagen,ovagen.com,4,false,irish-tech,Mayo
Payslip,payslip.com,3,false,irish-tech,Mayo payroll automation
Peblo,peblo.io,4,false,irish-tech,
Phorest,phorest.com,2,false,irish-tech,Dublin salon software
PlanNet21,plannet21.ie,4,false,irish-tech,
Plynk,plynk.ie,4,false,irish-tech,Dublin
Pointy Ireland,pointy.com,4,false,irish-tech,Duplicate guard
PrecisionBiotics,precisionbiotics.com,4,false,pharma,Cork
Profitero,profitero.com,3,false,irish-tech,Dublin ecommerce analytics
Provision Camera,provisionthermal.com,4,false,irish-tech,
Restored Hearing,restoredhearing.com,4,false,irish-tech,Sligo
Ryanair Labs,ryanair.com,2,false,irish-tech,Dublin and Wroclaw technology arm
Scurri,scurri.com,3,false,irish-tech,Wexford ecommerce delivery
SilverCloud Health,silvercloudhealth.com,3,false,irish-tech,Dublin digital mental health
Solo Energy,solo.energy,4,false,irish-tech,
Spectrum.Life,spectrum.life,3,false,irish-tech,Dublin wellbeing
Sports Interactive Ireland,sigames.com,4,false,irish-tech,
Squarespace Ireland,squarespace.com,4,false,mnc-tech,Duplicate guard
Sretaw,sretaw.com,4,false,irish-tech,
Swiftcomm,swiftcomm.ie,4,false,irish-tech,
Tapadoo,tapadoo.com,4,false,irish-tech,Dublin mobile
Tender Scout,tenderscout.com,4,false,irish-tech,
Tethras,tethras.com,4,false,irish-tech,Dublin localisation
Threefold Systems,threefold.ie,4,false,irish-tech,
TitanHQ,titanhq.com,3,false,irish-tech,Galway email security
Toolbx,toolbx.com,4,false,irish-tech,
Trilogy Technologies,trilogytechnologies.com,4,false,irish-tech,Dublin
Truata,truata.com,3,false,irish-tech,Dublin data privacy
Tucker Design,tuckerdesign.ie,4,false,irish-tech,
Utmost,utmost.io,4,false,irish-tech,Dublin
VideoDoc,videodoc.ie,4,false,irish-tech,
Viatel,viatel.com,3,false,telecom,Dublin
Vidatec,vidatec.com,4,false,irish-tech,
Vivasure Medical,vivasuremedical.com,4,false,medtech,Galway
Voxgig,voxgig.com,4,false,irish-tech,
Waterford Technologies,waterfordtechnologies.com,4,false,irish-tech,
Webio,webio.com,4,false,irish-tech,Dublin conversational AI
WhatClinic,whatclinic.com,4,false,irish-tech,Dublin
Wia,wia.io,4,false,irish-tech,Dublin IoT
Wombat Invest,wombat.co.uk,4,false,irish-tech,
Xanadu Consultancy,xanadu.ie,4,false,irish-tech,
Yonder Digital,yonderdigital.com,4,false,irish-tech,
Zeus Packaging,zeuspackaging.com,4,false,fmcg,Dublin
Zinkworks,zinkworks.com,3,false,irish-tech,Athlone
Zolvit,zolvit.com,4,false,irish-tech,
